First_pokemon_HP,First_pokemon_ATK,First_pokemon_DEF,First_pokemon_SP_ATK,First_pokemon_DP_DEF,First_pokemon_Speed,First_pokemon_STATS_SUM,First_pokemon_RATIO,Second_pokemon_HP,Second_pokemon_ATK,Second_pokemon_DEF,Second_pokemon_SP_ATK,Second_pokemon_DP_DEF,Second_pokemon_Speed,Second_pokemon_STATS_SUM,Second_pokemon_RATIO,Relation
75,98,63,98,63,101,498,0.849624060150376,105,180,100,180,100,115,780,0.9477611940298507,0.5
45,30,50,65,50,45,285,0.13821138211382114,78,84,78,109,85,100,534,0.8620689655172413,1.0
65,60,70,85,75,40,395,0.1796875,95,117,80,65,70,92,519,0.8409090909090909,1.0
60,130,80,60,60,70,460,0.5153846153846153,45,22,60,27,30,29,213,0.07518796992481203,0.25
60,30,30,36,56,50,262,0.32432432432432434,73,95,62,85,65,85,465,0.6666666666666666,1.0
76,65,45,92,42,91,411,0.7449664429530202,55,20,35,20,45,75,250,0.37681159420289856,1.0
100,100,100,100,100,100,600,0.8758169934640523,45,35,50,70,50,30,280,0.15753424657534246,1.0
76,104,71,104,71,108,534,0.912751677852349,70,80,65,90,65,85,455,0.578125,1.0
55,70,55,40,55,85,360,0.7073170731707317,60,80,50,40,40,30,300,0.15328467153284672,1.0
75,90,90,140,90,115,600,0.9481481481481482,65,150,60,115,60,115,565,0.935251798561151,0.5
70,40,50,55,50,25,290,0.061068702290076333,60,50,40,85,75,95,405,0.7540983606557377,1.0
85,110,90,45,90,80,500,0.6206896551724138,100,5,5,15,65,30,220,0.07692307692307693,1.0
58,109,112,48,48,109,484,0.8805970149253731,69,55,45,55,55,15,294,0.11666666666666667,1.0
130,85,80,85,95,60,535,0.43884892086330934,114,85,70,85,80,30,464,0.2066115702479339,1.0
65,80,65,35,65,60,370,0.38405797101449274,60,85,60,50,50,125,430,0.9090909090909091,1.0
50,53,62,58,63,44,330,0.13709677419354838,60,45,70,75,85,55,390,0.3008130081300813,1.0
90,90,85,125,90,100,580,0.768595041322314,75,75,60,83,60,60,413,0.39344262295081966,2.0
50,65,64,44,48,43,314,0.2196969696969697,80,160,60,170,130,80,680,0.6180555555555556,1.0
71,82,64,64,59,112,452,0.9327731092436975,50,70,50,50,50,70,340,0.5645161290322581,1.0
72,85,70,65,70,58,420,0.41304347826086957,109,66,84,81,99,32,471,0.2013888888888889,1.0
90,132,105,132,105,30,594,0.4246575342465753,70,120,40,95,40,95,460,0.8106060606060606,1.0
85,56,77,50,77,78,423,0.53125,60,75,100,55,80,50,420,0.3088235294117647,1.0
70,105,105,50,40,20,390,0.33587786259541985,40,30,30,40,50,30,220,0.07936507936507936,1.0
65,125,60,95,60,105,510,0.9236641221374046,50,85,85,55,55,50,380,0.3902439024390244,1.0
106,90,130,90,154,110,680,0.8699186991869918,78,104,78,159,115,100,634,0.8444444444444444,1.0
50,55,50,36,30,43,264,0.2922077922077922,64,66,68,81,76,50,405,0.25190839694656486,1.0
70,55,75,45,65,60,370,0.45901639344262296,50,50,120,80,80,30,410,0.07258064516129033,0.5
40,40,50,30,30,30,220,0.0873015873015873,61,90,45,50,50,160,456,0.9230769230769231,0.25
70,80,65,90,65,85,455,0.578125,126,131,95,131,98,99,680,0.8294573643410853,1.0
70,100,70,105,75,40,460,0.23214285714285715,50,95,95,35,110,70,455,0.5179856115107914,1.0
100,120,100,150,120,90,680,0.728,90,110,80,100,80,95,555,0.7982456140350878,0.5
50,50,120,80,80,30,410,0.07258064516129033,75,110,110,110,105,80,590,0.656934306569343,0.5
78,92,75,74,63,118,500,0.8842975206611571,78,52,60,63,65,23,341,0.06015037593984962,0.5
75,75,95,75,95,113,528,0.9015151515151515,65,90,40,45,80,75,395,0.625,0.25
39,52,43,60,50,65,309,0.49107142857142855,120,100,85,30,85,45,465,0.22448979591836735,1.0
78,104,78,159,115,100,634,0.8444444444444444,100,100,100,100,100,100,600,0.8805970149253731,0.5
95,100,85,108,70,70,528,0.5652173913043478,80,160,80,130,80,100,630,0.8455284552845529,2.0
90,100,70,110,150,80,600,0.6037735849056604,60,150,50,150,50,60,520,0.5,0.5
100,73,83,73,83,55,467,0.371900826446281,65,50,35,115,95,95,455,0.7333333333333333,1.0
78,65,68,112,154,75,552,0.628099173553719,105,180,100,180,100,115,780,0.9477611940298507,2.0
50,105,79,35,110,76,455,0.6214285714285714,50,85,40,85,40,35,335,0.1746031746031746,1.0
50,70,160,70,160,90,600,0.7417218543046358,60,69,95,69,95,36,424,0.2608695652173913,0.5
45,50,45,115,55,95,405,0.6936936936936937,110,80,90,95,90,65,530,0.5033557046979866,1.0
95,75,180,130,80,30,590,0.13793103448275862,75,75,95,75,95,113,528,0.9015151515151515,0.5
40,60,40,40,40,30,250,0.0948905109489051,43,70,48,50,60,38,309,0.2391304347826087,1.0
91,134,95,100,100,80,600,0.6304347826086957,90,60,70,75,70,45,410,0.23880597014925373,1.0
82,121,119,69,59,71,521,0.5394736842105263,99,68,83,72,87,51,460,0.417910447761194,2.0
50,95,95,35,110,70,455,0.5179856115107914,95,75,80,100,110,30,490,0.24242424242424243,0.5
72,105,115,54,86,68,500,0.5149253731343284,45,49,65,49,65,45,318,0.275,0.5
78,130,111,130,85,100,634,0.8561151079136691,50,95,95,35,110,70,455,0.5179856115107914,1.0
100,90,130,45,65,55,485,0.4253731343283582,110,85,95,80,95,50,515,0.2713178294573643,1.0
75,95,125,45,75,95,510,0.8257575757575758,60,55,145,75,150,40,525,0.2,1.0
10,55,25,35,45,95,265,0.5396825396825397,79,105,70,145,80,101,580,0.8608695652173913,0.0
70,55,55,80,60,45,365,0.2222222222222222,40,30,35,45,40,55,245,0.31496062992125984,1.0
50,60,45,100,80,65,400,0.45689655172413796,104,91,63,91,73,68,490,0.5118110236220472,1.0
90,100,90,125,85,90,580,0.7352941176470589,80,70,70,90,100,70,480,0.5609756097560976,2.0
68,85,65,165,135,100,618,0.8083333333333333,50,20,55,25,25,30,205,0.09774436090225563,1.0
55,85,122,58,75,99,494,0.8099173553719008,75,87,63,87,63,98,473,0.865546218487395,1.0
123,77,72,99,92,58,521,0.4621212121212121,70,110,75,145,85,145,630,0.9444444444444444,4.0
73,76,75,81,100,100,505,0.8110236220472441,50,20,40,20,40,20,190,0.0962962962962963,1.0
70,130,100,55,80,65,500,0.608,110,85,95,80,95,50,515,0.2713178294573643,1.0
60,50,40,85,75,95,405,0.7540983606557377,54,45,47,75,98,52,371,0.39669421487603307,1.0
50,65,107,105,107,86,520,0.6991150442477876,73,100,60,100,60,65,458,0.42657342657342656,1.0
100,50,50,76,96,70,442,0.5,100,100,125,110,50,50,535,0.384,2.0
110,78,73,76,71,60,468,0.3333333333333333,60,60,60,35,35,30,280,0.11194029850746269,1.0
35,70,55,45,55,25,285,0.09420289855072464,100,100,100,100,100,100,600,0.8345864661654135,2.0
60,100,85,80,85,100,510,0.7007874015748031,80,115,80,65,55,93,488,0.7846153846153846,1.0
60,67,85,77,75,116,480,0.8888888888888888,75,85,200,55,65,30,510,0.16778523489932887,0.5
70,90,70,60,60,70,420,0.6390977443609023,115,140,130,55,55,40,535,0.4519230769230769,1.0
77,120,90,60,90,48,485,0.2785714285714286,75,90,90,140,90,115,600,0.9481481481481482,1.0
85,105,85,40,50,40,405,0.211864406779661,90,120,120,60,60,50,500,0.35294117647058826,1.0
60,62,80,63,80,60,405,0.4336283185840708,55,40,50,65,85,40,335,0.3181818181818182,2.0
60,45,70,45,90,95,405,0.7304964539007093,35,60,44,40,54,55,288,0.366412213740458,1.0
60,50,100,85,70,65,430,0.47580645161290325,65,125,100,60,70,70,490,0.6099290780141844,0.5
85,56,77,50,77,78,423,0.53125,65,80,80,59,63,58,405,0.4411764705882353,1.0
50,50,40,30,30,50,250,0.2781954887218045,55,40,85,80,105,40,405,0.23622047244094488,0.0
80,110,60,150,130,70,600,0.5042016806722689,45,85,50,55,50,65,350,0.5076923076923077,1.0
35,80,50,50,70,120,405,0.84375,65,95,100,60,50,50,420,0.34959349593495936,1.0
45,35,45,62,53,35,275,0.11851851851851852,68,65,65,125,115,80,518,0.6461538461538462,1.0
80,120,130,55,65,45,495,0.37037037037037035,80,70,70,90,100,70,480,0.5609756097560976,0.5
65,60,110,130,95,65,525,0.47761194029850745,70,95,125,65,75,45,475,0.33613445378151263,1.0
65,47,55,73,75,85,400,0.65,65,155,120,65,90,105,600,0.8677685950413223,0.5
54,63,52,83,56,97,405,0.7697841726618705,73,95,62,85,65,85,465,0.6666666666666666,1.0
60,40,50,75,85,95,405,0.6044776119402985,40,80,100,30,30,20,300,0.11851851851851852,0.0
75,125,70,125,70,115,580,0.9037037037037037,75,75,130,75,130,95,580,0.7479674796747967,0.5
95,100,85,108,70,70,528,0.5652173913043478,40,20,30,40,80,55,265,0.22764227642276422,1.0
68,90,65,50,55,82,410,0.6165413533834586,95,80,105,40,70,100,490,0.8046875,1.0
75,89,85,55,65,36,405,0.29545454545454547,55,130,115,50,50,75,475,0.5982142857142857,2.0
100,128,90,77,77,128,600,0.959349593495935,64,66,68,81,76,50,405,0.25190839694656486,1.0
55,35,50,55,110,85,390,0.6277372262773723,69,55,45,55,55,15,294,0.11666666666666667,2.0
65,83,57,95,85,105,490,0.8914728682170543,80,105,105,105,105,80,580,0.5939849624060151,1.0
50,75,35,70,30,40,300,0.21296296296296297,75,70,90,70,105,80,490,0.656,0.25
